Individual,PC1,PC2,PC3,PC4,Population,Population2
ItalianGreyhound:ItalianGreyhound02,-0.0233,-0.0006,0.012,0,Breed,ItalianGreyhound
ItalianGreyhound:ItalianGreyhound01,-0.0234,-0.0011,0.0112,-0.0005,Breed,ItalianGreyhound
JackRussellTerrier:JackRussellTer02,-0.0238,-0.0005,0.0123,-0.0009,Breed,JackRussellTerrier
JackRussellTerrier:JackRussellTer03,-0.0239,-0.001,0.0125,-0.0008,Breed,JackRussellTerrier
JackRussellTerrier:JackRussellTer05,-0.0241,-0.0012,0.0122,-0.0007,Breed,JackRussellTerrier
JackRussellTerrier:JackRussellTer04,-0.0242,-0.0009,0.0124,-0.0008,Breed,JackRussellTerrier
Jamthund:Jamthund01,-0.0194,-0.001,0.0029,-0.001,Breed,Jamthund
Jindo:Jindo01,0.0156,0.002,-0.105,-0.0067,Breed,Jindo
Keeshond:Keeshond01,-0.0221,-0.0013,0.0095,-0.0009,Breed,Keeshond
KerryBlueTerrier:KerryBlueTerrier02,-0.0247,-0.0009,0.0121,-0.0008,Breed,KerryBlueTerrier
Komondor:Komondor01,-0.0205,-0.0019,0.0083,-0.0009,Breed,Komondor
Kromfohrlander:Kromfohrlander01,-0.023,-0.0008,0.0108,-0.001,Breed,Kromfohrlander
Kuri:MS11677,0.0299,0.0065,-0.1532,-0.0076,Kuri,Kuri
Kuri:MS11775,0.0296,0.0058,-0.1568,-0.0085,Kuri,Kuri
Kuri:MS11678,0.0295,0.0056,-0.1555,-0.0085,Kuri,Kuri
Kuri:MS11684,0.0292,0.0062,-0.1556,-0.0082,Kuri,Kuri
Kuri:MS11774,0.0292,0.0058,-0.1563,-0.0085,Kuri,Kuri
Kuri:MS11674,0.0291,0.0054,-0.1533,-0.0079,Kuri,Kuri
Kuri:MS11771,0.0291,0.0059,-0.1554,-0.0085,Kuri,Kuri
Kuri:MS11679,0.029,0.0057,-0.1556,-0.0084,Kuri,Kuri
Kuri:MS11683,0.0288,0.0056,-0.1553,-0.0081,Kuri,Kuri
